id_pos,amount,avg_daily_savings_normalized,time_saving_coef_normalized,matched_score_normalized,active_days_coef_normalized,lat,lng,dynamic_score
1664,125.0,0.2135187594412,0.6580172987358617,0.0,0.6429,-36.6909908,-56.6779679,320.32819476301233
747,80.0,0.0646330449483,0.4129518740297184,0.0,0.7857,-37.1011642,-56.8466521,235.3265396697287
502,300.0,0.3625489050842,0.7092481703260147,0.0,1.2857,-38.0698762,-57.5584639,475.809246314593
501,300.0,1.4859617165878,0.75249500998004,0.0,1.7143,-38.0515752,-57.5629858,1049.2704605598678
503,300.0,0.0256997477667,0.6777555999112885,0.0,1.0,-37.9946753,-57.624072,276.4250021378727
882,50.0,0.0310665572275,0.7391882900864939,0.0,0.5714,-38.080491,-57.5458232,267.4876044736238
407,100.0,0.0001315239275,0.5544466622310933,0.0,1.0714,-34.615847,-58.6455821,229.09813456774367
2234,150.0,1.1351799972782,0.7056997116877357,0.0,1.0714,-27.4813256,-58.7669505,1050.143064473737
728,150.0,0.0670368337311,0.7391882900864939,1.0,0.6429,-27.4724901,-58.8445047,422.31163219829375
2227,150.0,0.6120949135276,0.6711022399645155,1.0,0.5714,-27.4729705,-58.8290872,775.7511915921231
563,0.0,0.2684524735364,0.5544466622310933,0.0,0.2143,-46.4414715,-67.5416752,376.27184549369866
2132,100.0,0.1797844886462,0.4763805721889553,0.6666666666666667,1.9286,-34.6466375,-58.7937966,462.5367508921978
840,250.0,0.0003238030096,0.0,0.3333333333333333,0.2857,-32.9546764,-60.6448851,87.42207093235334
561,500.0,0.1568854684237,0.5544466622310933,0.0,1.7143,-46.446083,-67.5329469,375.5341947505336
632,150.0,0.0007162887828,0.5544466622310933,0.0,0.1429,-27.8100017,-64.2663924,128.94841404917867
637,250.0,0.009163756961,0.4927921933909958,0.0,4.7857,-31.4235302,-64.144141,664.0247605420992
1071,58.0,0.0489734195597,0.5322687957418497,0.0,0.7857,-43.2700454,-65.3071982,299.13430207498493
1073,58.0,0.0852935573775,0.4495453537369704,0.3333333333333333,1.5714,-43.2576154,-65.3029795,361.2262860144524
1072,58.0,0.0326723038486,0.3838988689288092,0.3333333333333333,0.8571,-43.2626356,-65.3035247,253.6512836827152
721,210.0,0.0002417624521,0.5544466622310933,0.3333333333333333,1.9286,19.398904,-99.0803007,386.085972779097
725,70.0,0.0084369552586,0.4821468174761589,0.3333333333333333,0.6429,19.4033647,-99.0745903,253.51696346993512
784,150.0,0.010855622435,0.5267243291195389,0.0,1.2857,-31.1645453,-62.0984087,255.98736422820775
2043,100.0,0.1275397223411,0.6990463517409626,0.0,0.7857,-34.550364,-58.5548234,286.27935093773755
2041,100.0,0.1160450125375,0.5797294300288311,0.0,0.4286,-34.6634249,-58.7273243,227.21166384999125
2158,100.0,0.1732027174606,0.7624750499001995,0.6666666666666667,0.7143,-34.6466311,-58.7902482,384.5054050158266
2161,100.0,0.1032678999154,0.7491683300066534,0.0,0.7143,-34.6054747,-58.5950655,284.5402548829107
2171,100.0,0.102092852812,0.7846529163894433,0.0,1.0,-34.6225144,-58.8426621,324.9624509930887
2042,100.0,0.0372193070081,0.5883787979596362,0.0,1.0,-34.4874596,-58.6184096,243.85066718657225
854,200.0,0.0002120930233,0.3697050343756929,0.0,1.6429,-32.173427,-58.785857,242.0697973543236
883,50.0,0.0745317191062,0.6509203814593036,0.0,0.7857,-37.982582,-57.591264,287.45743920470073
979,25.0,0.0128118011856,0.5069860279441119,0.0,2.0,-31.6513001,-63.9112101,320.30662712584234
2504,100.0,0.0217128916154,0.0,0.3333333333333333,0.2143,-24.7961198,-65.4102744,256.2744946642633
1766,300.0,0.9877574040988,0.734752716788645,0.0,1.2857,-31.565803,-68.535636,754.3744759660891
1097,210.0,0.088899100134,0.5364825903748061,0.0,0.6429,23.0440108,-109.7076732,222.62073729191124
1102,210.0,0.1250266130576,0.6930583277888667,0.0,2.4286,20.6514861,-100.3133503,478.4176075182933
1098,150.0,0.0170905609803,0.5544466622310933,0.3333333333333333,0.2857,22.8948129,-109.9152149,193.095835992587
1101,210.0,0.537530538005,0.7294300288312263,0.3333333333333333,0.7143,24.1272929,-110.311797,529.5688262002785
1626,100.0,0.02916357322,0.5069860279441119,0.0,2.2143,-33.0833839,-68.4716129,345.7605829339724
1113,140.0,0.2076010071664,0.7879795963628298,0.6666666666666667,1.5,19.4118149,-99.1175073,518.6088663992626
1112,135.0,0.0176227394636,0.616101131071191,0.0,1.1429,-31.2425371,-64.4654064,271.1418235702082
1119,245.0,0.0009992252566,0.5544466622310933,0.0,1.5714,20.7156486,-97.5334053,294.1652453047386
1114,210.0,0.4992663180322,0.7893102683521847,1.0,1.2857,19.4205752,-99.1576261,665.805310955077
1182,100.0,0.6363770747901,0.8383233532934131,0.0,4.0714,19.6251638,-99.3373135,988.4014589137277
1170,140.0,0.0194678773677,0.6653359946773121,0.0,4.6429,20.2391874,-99.1851085,640.0370374139275
1192,150.0,0.0064419058778,0.7056997116877357,1.0,8.4286,19.3779126,-99.1709195,1121.8813629598071
1183,122.5,0.0935260691271,0.6318474162785541,0.3333333333333333,1.0714,19.3901415,-99.2600298,378.8017738703892
1224,53.0,0.0403292325718,0.6930583277888667,0.0,0.8571,19.5318971,-99.1028458,344.7923736266333
1238,150.0,0.0016606449106,0.7391882900864939,0.3333333333333333,6.5714,20.2283162,-99.214894,988.217310081352
1265,297.5,0.0052836052836,0.0,0.3333333333333333,1.8571,19.3920927,-99.0723437,268.3175074351034
1877,75.0,0.0337410091966,0.5063206919494343,0.0,0.5714,-34.7965806,-58.276012,229.44210024715687
1278,122.5,0.0666330613831,0.649146152140164,0.6666666666666667,0.2857,19.4008134,-99.1365936,338.59936336859454
1311,400.0,2.8537643745144,0.8713683743623863,0.0,1.0,19.4594948,-99.0452095,1715.9443616590077
1328,42.5,0.0209992381176,0.8063872255489024,0.0,0.6429,19.2894917,-99.0128494,455.2469210684005
1325,80.0,0.2251831448163,0.7560434686183188,0.0,1.1429,20.3491789,-98.3566742,639.0205110986988
1320,250.0,0.8977297856961,0.744954535373697,0.3333333333333333,3.4286,32.4710778,-114.7892446,1053.1441370123175
1366,75.0,0.094484029772,0.5750720780660901,0.0,0.6429,17.2610953,-97.670065,292.26681484841805
1422,50.0,0.0217573997903,0.521845198491905,0.3333333333333333,1.0714,20.5612095,-100.3636703,267.12078378809935
